Robox Software Translations																													
	English	Simplified Chinese	Traditional Chinese	Italian	French	French (fprint)	Korean	German (Andreas)	German (Erik)	Spanish	Portuguese	Portuguese (Brazil)	Swedish	Danish	Polish	Dutch	Russian	Japanese	Thai	Greek	Turkish	Arabic	Persian	Hindi	German (CEI)	Punjabi	Czech Language	Finnish	Japanese
buttonText.cancel	Cancel																												
buttonText.closeNozzle	Close Nozzle																												
buttonText.duplicateModel	Duplicate																												
buttonText.ejectFilament	Eject Filament																												
buttonText.fillNozzle	Fill Nozzle																												
buttonText.fineNozzle	Fine Nozzle																												
buttonText.headFan	Head Fan																												
buttonText.headLights	Head																												
buttonText.home	Home																												
buttonText.layFlat	Lay Flat																												
buttonText.make	Make!																												
buttonText.next	Next																												
buttonText.openNozzle	Open Nozzle																												
buttonText.removeHead	Remove Head																												
buttonText.removeModel	Remove																												
buttonText.toLayout	To Layout																												
buttonText.toSettings	To Settings																												
buttonText.unlockDoor	Unlock Door																												
calibrationDiagram.fineNozzle	Fine Nozzle				Jet fin								Finmunstycke				Тонкое сопло								Feine Düse		Jemná tryska	Hienosuutin	
calibrationDiagram.fillNozzle	Fill Nozzle				Remplisage du jet								Fyllmunstycke				Сопло заливки								Fülldüse		Vyplňovací tryska	Täyttösuutin	
calibrationDiagram.xOffset	X Offset				Offset axe X								X Avstånd				Смещение по оси X								X-Abstand		Korekce X	X Etäisyys	
calibrationDiagram.xOffsetError	X Offset Error				Erreur offset  sur axe X								X Avstånd fel				Ошибка смещения по оси X								X-Abstandsfehler		Chyba korekce X	X Etäisyys virhe	
calibrationDiagram.xAndYOffsetError	X and Y Offset Error				Erreur offset sur axe X et axe Y								X och Y avstånd fel				Ошибка смещения по осям X и Y								X- und Y-Abstandsfehler		Chyba korekce X a Y	X ja Y etäisyys virhe	
calibrationDiagram.yOffset	Y Offset				Offset sur axe Y								Y Avstånd				Смещение по оси Y								Y-Abstand		Korekce Y	Y Etäisyys	
calibrationDiagram.yOffsetError	Y Offset Error				Offset Y erreur								Y Avstånd fel				Ошибка смещения по оси Y								Y-Abstandsfehler		Chyba korekce Y	Y Etäisyys virhe	
calibrationDiagram.perfectAlignment	Perfect Alignment				Alignement parfait								Perfekt uppriktning				Идеальное выравнивание								Perfekte Ausrichtung		Správné zarovnání	Täydellinen suuntaus	
calibrationDiagram.incorrectAlignment	Incorrect Alignment				Alignement incorrect								Fel uppriktning				Неверное выравнивание								Inkorrekte Ausrichtung		Chybné zarovnání	Väärä suuntaus	
calibrationDiagram.fineNozzle03	Fine Nozzle (0.3mm)				Jet fin (0.3mm)								Finmunstycke (0,3mm)				Тонкое сопло (0,3 мм)								Feine Düse (0,3 mm)		Jemná tryska (0.3mm)	Hienosuutin (0,3mm)	
calibrationDiagram.fillNozzle08	Fill Nozzle (0.8mm)				Jet de remplissage  (0.8mm								Fyllmunstycke (0,8mm)				Сопло заливки (0,8 мм)								Fülldüse (0,8 mm)		Vyplňovací tryska (0.8mm)	Täyttösuutin (0,8mm)	
calibrationDiagram.or	or				ou								eller				или								oder		nebo	tai	
calibrationMenu.nozzleOpening	Nozzle Opening				Ouverture du jet								Munstycksöppning				Открытие сопла								Düsenöffnung		Otevírání trysky	Suutinaukko	
calibrationMenu.nozzleHeight	Nozzle Height				Hauteur du jet								Munstyckets höjd				Высота сопла								Düsenhöhe		Výška trysky	Suuttimen korkeus	
calibrationMenu.nozzleAlignment	Nozzle Alignment				Alignement du jet								Munstyckets uppriktning				Выравнивание сопла								Ausrichtung der Düse		Zarovnání trysky	Suuttimen suuntaus	
calibrationMenu.gantryLevel	Gantry Level				Niveau du portique								Ställningens nivå				Уровень по оси X								Portal-Niveau		Úroveň portálu	Aseman taso	
calibrationPanel.adjustNozzleOffsets	Adjust nozzle offsets	调整喷嘴校正	微調噴咀高度		ajuster les offsets du jet		노즐 옵셋 조정	Einstellen von Düsenabständen		Hacer Click en la flechas para incrementar o decrementar la altura del inyector por encima de la cama			Justera munstycksavståndet				Отрегулируйте смещения сопел	ノズルオフセットを調整する							Einstellen von Düsenabständen		Upravit korekci trysky	Säädä suutinetäisyyttä	ノズルオフセットを調整する
calibrationPanel.adjustNozzleOffsetsInstruction	Click on the arrows to increase or decrease the height of the nozzle above the bed	请按箭头来提升或降低喷嘴距离床的高度。	點擊上或下箭咀以調高或低噴咀高度		cliquer sur les flèches pour augmenter ou diminuer la hauteur du jet par rapport au plateau		베드위 노즐 높이를 높이거나 낮추기 위해서는 화살표를 클릭하세요	Klicken Sie auf die Pfeile, um die Höhe der Düse über dem Bett zu vergrößern oder zu vermindern.		Calibración del eje del cabezal B en progreso			Klicka på pilarna för att öka eller minska munstyckets avstånd över bädden				Нажмите на стрелки, чтобы увеличить или уменьшить высоту сопла над платформой	印刷台の上のノズルの高さを上げ下げする為に矢印をクリックする							Klicken Sie auf die Pfeile, um die Höhe der Düse über dem Bett zu vergrößern oder zu vermindern.		Klikněte na šipky pro zvětšení nebo zmenšení výšky trysky nad podložkou	Klikkaa nuolia lisätäksesi tai vähentääksesi suuttimen etäisyyttä alustan yläpuolella	印刷台の上のノズルの高さを上げ下げする為に矢印をクリックする
calibrationPanel.approxBuildTime	Approximate Build Time Remaining:				Estimation du temps de fabrication restant								Ungefärlig återstående byggtid: 				Приблизительное оставшееся время построения:								Ungefähr verbleibende Aufbauzeit:		Zbývající doba tisku:	Arvioitu jäljellä oleva rakennusaika:	
calibrationPanel.BCalibrationProgressTitle	Calibration of head B axis in progress	正在校准B轴	校正打印頭噴咀開合進行中		Calibration de l’axe la tete B en cours		헤드 B 축의 측정 진행 중	Kalibrierung der Achse von Druckkopf B läuft		Calibración de la apertura del inyector			Kalibrering av B-skrivhuvudets axel pågår		Kalibracja głowicy B		Калибровка головки B по оси в процессе	ヘッドB軸のキャリブレーション進行中							Kalibrierung der Achse von Druckkopf B läuft		Probíhá kalibrace osy hlavy B	B-tulostuspään akselin kalibrointi käynnissä	ヘッドB軸のキャリブレーション進行中
calibrationPanel.calibrateB	Calibrate Nozzle Opening	校准喷嘴正常打开	校正噴咀開合		Calibration de l’ouverture du jet		노즐 오프닝 측정	Düsenöffnung kalibrieren		Calibración del contacto Z			Kalibrera munstycksöppning				Калибровка отверстия сопла	ノズルの開放をキャリブレートします							Düsenöffnung kalibrieren		Kalibrovat otvor trysky	Kalibroi suutinaukko	ノズルの開放をキャリブレートします
calibrationPanel.calibrateZContact	Calibrate Z contact	校准Z轴	校正Z軸之接觸點		calibration du contact Z		Z 접점 측정	Z-Kontakt kalibrieren		Calibración de la altura del inyector			Kalibrera Z-kontakt				Калибровка контакта Z	Zコンタクトをキャリブレートします							Z-Kontakt kalibrieren		Kalibrovat kontakt Z	Kalibroi Z-kontakti	Zコンタクトをキャリブレートします
calibrationPanel.calibrateZOffset	Calibrate Nozzle Height	校准喷嘴高度	校正噴咀高度		Calibration de la hauteur du jet		노즐 높이 측정	Düsenhöhe kalibrieren		Calibración de partida para inyector izquierda (T0) \n Ambas válvulas se cerrarán y después la presión de filamentos se aplicara. Observe si hay material que salga. Cada vez que pulse "No", la válvula se abrirán un poco más, hasta que se pulsa "Sí", entonces el valor de la posición, al punto de la apertura, se guardará y se utilizara durante la impresión.			Kalibrera munstyckshöjd				Калибровка сопла по высоте	ノズル高さをキャリブレートします							Düsenhöhe kalibrieren		Kalibrovat výšku trysky	Kalibroi suutinkorkeus	ノズル高さをキャリブレートします
calibrationPanel.calibrationCommencedMessageFine	AutoMaker now needs to determine the ‘opening point’ of the needle valve. The valve will be gradually opened every time you click ‘Not Flowing’.\n\nRepeatedly press the ‘Not Flowing’ button until material flows, then press the ‘Flowing’ button.	开始校准左侧喷嘴（T0）\ 系统关闭出丝阀门后会开始推料。看看是否有材料挤出。您每按一次“否”将阀门打开一点，直到你按“是”，则打开位置将会被设定，保存并使用在打印中。	校正左邊噴咀(T0)開始\n兩邊噴咀會關閉		Automaker va maintenant determiner les point d’ouverture de la valve aiguille. La valve va s’ouvrir peu a peu a chaque fois que que vous allez clicker sur ‘Not Flowing’.\n\nFirst, le jet fin - voyez de la matière en train d’être extrudé? quand le materiel apparait appuyez sur le bouton “flowing”		좌측 노즐(T0)에 대한 측정 시작. 양쪽 밸브가 닫힌 후 필라멘트 압력이 적용됩니다. 나오는 물질이 있는지 확인합니다. 'No'를 누르면, 밸브가 'Yes'를 누를 때까지 점점 더 열린 후, 개방 지점에서의 밸브 위치가 저장되어 인쇄 시 활용됩니다.	Kalibrierung der linken Düse (T0) beginnt\nAlle Ventile werden geschlossen, dann wird das Filament unter Druck gesetzt. Sehen Sie nach, ob Material herauskommt. Jedes Mal, wenn Sie 'Nein' drücken, wird das Ventil ein wenig mehr geöffnet, bis Sie schließlich 'Ja' drücken. Dann wird der Offenstellungswert gespeichert und während des Druckes verwendet.		Calibración de partida para inyector derecho (T1) \n Ambas válvulas se cerrarán y después la presión de filamentos se aplicara. Observe si hay material que salga. Cada vez que pulse "No", la válvula se abrirán un poco más, hasta que se pulsa "Sí", entonces el valor de la posición, al punto de la apertura, se guardará y se utilizara durante la impresión.			AutoMaker avgör nu nålventilens öppningspunkt. Ventilen kommer att öppnas gradvis alltid då du trycker på "Strömmar inte".\n\nFörst, finmunstycket - ser du material strömma ut? När du ser material, tryck på "Strömmar" knappen.				AutoMaker теперь определит "точку открытия" игольчатого клапана. Клапан будет постепенно открывается при нажатии кнопки "не течет".\n\n Вначале тонкое сопло - вы видите экструдируемый материал? Когда появится материал, нажмите кнопку "Течет".	左側のノズルのキャリブレーション開始\n両方のバルブが閉じ、それからフィラメントの圧力が加わります。材料が出ているか確認して下さい。 'いいえ' を押す度に 、'はい'を押す迄バルブが少しずつ開き最適な位置となり、開始時点でセーブされプリント中に使用されます。							AutoMaker muss nun den 'Öffnungspunkt' des Nadelventils bestimmen. Jedes Mal, wenn Sie auf 'Not Flowing' (fließt nicht) klicken, wird das Ventil schrittweise geöffnet.\n\nZuerst die feine Düse - sehen Sie, dass Material extrudiert wird? Klicken Sie, wenn Material erscheint, auf die Schaltfläche 'Flowing' (fließt).		AutoMaker teď musí nastavit 'otevírací bod' jehlového ventilu. Ventil se bude postupně otevírat po každém kliknutí na 'Neteče'.\n\nNejdříve jemná tryska - vídíte vytékat materiál? Když začne materiál téct, klikněte na 'Teče'.	AutoMaker määrittää seuraavaksi neulaventtiilin avautumispisteen. Venttiili avataan asteittain aina kun painat "Ei virtaa".\n\nEnsin, hienosuutin - näetkö materiaalia pursuavan ulos? Kun näet materiaalia, paina "Virtaa" painiketta.	左側のノズルのキャリブレーション開始\n両方のバルブが閉じ、それからフィラメントの圧力が加わります。材料が出ているか確認して下さい。 'いいえ' を押す度に 、'はい'を押す迄バルブが少しずつ開き最適な位置となり、開始時点でセーブされプリント中に使用されます。
calibrationPanel.calibrationCommencedMessageFill	Now, the fill nozzle - do you see any material being extruded?\n\nRepeatedly press the ‘Not Flowing’ button until material flows, then press the ‘Flowing’ button. 	开始校准左侧喷嘴（T1）\ 系统关闭出丝阀门后会开始推料。看看是否有材料挤出。您每按一次“否”将阀门打开一点，直到你按“是”，则打开位置将会被设定，保存并使用在打印中。	校正右邊噴咀(T1)開始\n兩邊噴咀會關閉		Maintenant, le jet de remplissage-voyez vous de la matière en train d’être extrudé? quand la matière apparait, clicker sur le bouton “flowing”		우측 노즐(T1)에 대한 측정 시작. 양쪽 밸브가 닫힌 후 필라멘트 압력이 적용됩니다. 나오는 물질이 있는지 확인합니다. 'No'를 누르면 밸브가 'Yes'를 누를 때까지 점점 더 열린 후, 개방 지점에서의 밸브 위치가 저장되어 인쇄 시 활용됩니다.	Kalibrierung der rechten Düse (T1) beginnt\nAlle Ventile werden geschlossen, dann wird das Filament unter Druck gesetzt. Sehen Sie nach, ob Material herauskommt. Jedes Mal, wenn Sie 'Nein' drücken, wird das Ventil ein wenig mehr geöffnet, bis Sie schließlich 'Ja' drücken. Dann wird der Offenstellungswert gespeichert und während des Druckes verwendet.		Falla de calibración			Och nu, fyllmunstycket - ser du material komma ut? När du ser material, tryck på "Strömmar" knappen.				Теперь, сопло заливки - вы видите экструдируемый материал? Когда появится материал, нажмите кнопку "Течет".	右側のノズルのキャリブレーション開始\n両方のバルブが閉じ、それからフィラメントの圧力が加わります。材料が出ているか確認して下さい。 'いいえ' を押す度に 、'はい'を押す迄バルブが少しずつ開き、最適な位置となり、開始時点でされプリント中に使用されます。							Nun die Fülldüse - sehen Sie, ob Material extrudiert wird? Klicken Sie, wenn Material erscheint, auf die Schaltfläche 'Flowing' (fließt).		Teď vyplňovací tryska - vydíte vytékat materiál? Když se materiál objeví klikněte na 'Další'.	Ja nyt, täyttösuutin - näetkö materiaala pursuavan ulos? Kun näet materiaalia, paina "Virtaa" painiketta.	右側のノズルのキャリブレーション開始\n両方のバルブが閉じ、それからフィラメントの圧力が加わります。材料が出ているか確認して下さい。 'いいえ' を押す度に 、'はい'を押す迄バルブが少しずつ開き、最適な位置となり、開始時点でされプリント中に使用されます。
calibrationPanel.calibrationFailed	Calibration failed	校准失败	校正失敗		La calibration n’a pas resussit		측정 실패	Kalibrierung fehlgeschlagen		Iniciación			Kalibrering misslyckades				Калибровка не удалась	キャリブレーション失敗							Kalibrierung fehlgeschlagen		Kalibrace neuspěla	Kalibrointi epäonnistui	キャリブレーション失敗
calibrationPanel.calibrationInitialising	Initialising	初始化	初始中		Instalation		초기화	Initialisieren		La calibración se ha realizado exitosamente\n Se ha almacenado la posición de la apertura de las válvulas de los inyectores en el cabezal de impresión y se utilizará durante la impresión. \n			Initialiseras				Инициализация	イニシャライズ中							Initialisieren		Inicializace	Alustetaan	イニシャライズ中
calibrationPanel.calibrationSucceededMessage	Calibration successful! The head configuration of your Robox has been updated.	校准喷嘴的阀门开启位置成功，数值存储到该打印头，将在打印时使用。	校正成功\n噴咀開合位置已儲存在此打印頭中並會於打印中使用。\n		Calibration réussi! la tete a été programmée and est prête pour l’impression.		측정 성공. 노즐 밸브 개방 위치는 이 프린트 헤드에 저장되었으며 인쇄 시 활용됩니다.	Kalibrierung war erfolgreich\nDie Offenstellung der Düsenventile wurde für diesen Druckkopf gespeichert und wird während des Druckes verwendet.\n 		Se ha almacenado la posición de la apertura de las válvulas de los inyectores en el cabezal de impresión y se utilizará durante la impresión. \n Vuelva a insertar la cama PEI			Kalibreringen lyckades! Skrivarhuvudet har programmerats och är färdigt för skrivning.				Калибровка прошла успешно. Головка запрограммирована и готова к печати.	キャリブレーションは完了しましたl\nノズルバルブの開始位置はこのプリントヘッドに記憶されプリント中に使用されます.\n							Kalibrierung war erfolgreich\nDer Druckkopf wurde programmiert und ist nun bereit zum Drucken .\n		Kalibrace byla úspěšná! Hlava byla naprogramovaná a je připravena tisknout.	Kalibrointi onnistui! Tulostuspää on nyt ohjelmoitu ja on valmis tulostamaan.	キャリブレーションは完了しました\nノズルバルブの開始位置はこのプリントヘッドに記憶されプリント中に使用されます.\n
calibrationPanel.calibrationSucceededOffsetMessage	The position of nozzle valves open position has been stored into this Print Head and will be used during printing.\nRe-insert the PEI bed.\n	喷嘴阀打开位置已存储到该打印头，将在打印时使用。\ 装上并固定PEI床。\n	噴咀開合位置已儲存到打印頭中並將會在下一次打印時使用\n重新裝回PEI床		La position des valves du jet en potion ouverte a été enregistré dans la tete d’impression and sera utiliser durant l’impression. \nRe-insert the PEI bed.\n		노즐 밸브 개방 위치는 이 프린트 헤드에 저장되었으며 인쇄 시 활용됩니다.  PEI 베드를 다시 삽입합니다.	Die Offenstellung der Düsenventile wurde für diesen Druckkopf gespeichert und wird während des Druckes verwendet.\nSetzen Sie nun das PEI-Bett wieder ein.\n 		Cancelar			Positionen för Munstycksventilens öppningspunkt har lagrats till detta skrivhuvud och kommer att användas under utskrift.\nSätt tillbaka PEI bädden.\n				Открытое положение клапанов сопел было сохранено в этой печатающей головке и будет использоваться во время печати. ​​\n Установите платформу PEI. \n	ノズルバルブの開放位置がプリントヘッドに記憶され印刷中に使用されます。.\nPEI 印刷台を再度入れて下さい.							Die Offenstellung der Düsenventile wurde für diesen Druckkopf gespeichert und wird während des Druckes verwendet.\nSetzen Sie nun das PEI-Bett wieder ein.\n		Pozice otevřených ventilů trysky byla uložena do tiskové hlavy a bude použita během tisku.\nZnovu vložte PEI podložku.\n	Suuttimen venttiilin asento on tallennettu tälle tulostuspäälle ja tullaan käyttämään tulostuksen aikana.\nAseta PEI-alusta takaisin paikalleen.\n	ノズルバルブの開放位置がプリントヘッドに記憶され印刷中に使用されます。\nPEI 印刷台を再度入れて下さい.
calibrationPanel.cancelCalibration	Cancel	取消	取消		Annuler		취소	Abbrechen		Seleccione una opción			Avbryt		Anuluj		Отмена	キャンセル							Abbrechen		Zrušit	Keskeytä	キャンセル
calibrationPanel.chooseCalibration	Please choose the type of calibration you require.				Choisissez s’il vous plait le type de qualibration requise					Asegúrese de que los inyectores estén limpios - Utilice las pinzas para remover el material de las aberturas en la parte inferior así cuando se abran las válvulas de aguja sea obvio que el material es expulsado.			Var god och välj typen av kalibrering du kräver.				Выберите тип требуемой калибровки								Bitte wählen Sie den gewünschten Kalibrierungstyp			Ole hyvä ja valitse tarvitsemasi kalibrointitapa.	
calibrationPanel.chooseNozzleOffsetMode	Choose an option	请选择一个选项	揀選一個選項		Choisir une option		옵션 선택	Wählen Sie eine Option		Pulse 'Sí' cuando los inyectores estén libres de material			Välj ett alternativ		Wybierz opcję		Выберите опцию	オプションを選択する							Wählen Sie eine Option		Vyberte možnost	Valitse vaihtoehto	オプションを選択する
